ew	mc	pps
0.004312967139	0.003006868004	0.00715460463
0.01317253148	0.01385759299	0.02105097334
9.57523715e-06	0.0003164994074	0.002432826946
0.0002750513703	0.01834706784	0.02619371323
0.002770859246	0.001535726376	0.003039236967
0.001028772362	0.01292101583	0.01280045495
0.009502704745	0.0186192195	3.730332207e-05
0.02138830509	0.00250575402	0.01199176626
0.002628883321	0.003215321381	0.00328667726
0.002482779863	0.004655553277	0.009855614116
0.005954591341	0.009225941919	0.001308115529
0.002312991482	0.01460460877	0.01577140854
0.01110076808	0.002376823474	0.01205211849
0.0005521844033	0.003111492061	0.002817200155
0.001620621521	0.000498171521	0.003602498275
0.002033292727	0.001608714135	0.003111950461
0.02168789327	0.01315353125	0.002711893476
0.006762871558	0.009967834522	0.00505198098
0.0003190112198	0.01728672139	0.01666768781
0.007438444626	0.005882936435	0.001033968362
0.001451525414	0.001403072166	0.002836490971
0.008954549378	0.001584338492	0.01625480707
0.0004269462231	0.009131499735	0.008527762068
0.002800303804	0.0009895544612	0.0004783981248
0.005808949063	0.002474602518	0.002075412923
0.01321445541	0.01265833391	0.01307969653
0.004420024173	0.003755312092	0.0009339186753
0.0007259681527	0.01906982802	0.003717658113
